SR401|4829.00|4840.00|4790.00|42574|09:39:49|4829.00|36|4830.00|36
SR401|4829.00|4840.00|4790.00|42582|09:39:51|4828.00|37|4829.00|37
SR401|4829.00|4840.00|4790.00|42586|09:39:56|4828.00|47|4829.00|47
SR401|4829.00|4840.00|4790.00|42586|09:39:56|4828.00|94|4829.00|94
SR401|4829.00|4840.00|4790.00|42598|09:39:57|4828.00|48|4829.00|48
SR401|4828.00|4840.00|4790.00|42612|09:39:58|4828.00|85|4829.00|85
SR401|4829.00|4840.00|4790.00|42624|09:40:00|4828.00|79|4829.00|79
SR401|4829.00|4840.00|4790.00|42624|09:40:01|4828.00|179|4829.00|179
SR401|4829.00|4840.00|4790.00|42624|09:40:01|4828.00|179|4829.00|179
SR401|4829.00|4840.00|4790.00|42624|09:40:02|4828.00|180|4829.00|180
SR401|4829.00|4840.00|4790.00|42624|09:40:03|4828.00|57|4829.00|57
SR401|4829.00|4840.00|4790.00|42624|09:40:04|4828.00|58|4829.00|58
SR401|4829.00|4840.00|4790.00|42630|09:40:06|4828.00|57|4829.00|57
SR401|4829.00|4840.00|4790.00|42630|09:40:09|4828.00|204|4829.00|204
SR401|4829.00|4840.00|4790.00|42630|09:40:10|4828.00|204|4829.00|204
SR401|4829.00|4840.00|4790.00|42630|09:40:11|4828.00|204|4829.00|204
SR401|4829.00|4840.00|4790.00|42636|09:40:12|4828.00|63|4829.00|60
SR401|4829.00|4840.00|4790.00|42636|09:40:13|4828.00|63|4829.00|63
SR401|4829.00|4840.00|4790.00|42636|09:40:14|4828.00|205|4829.00|205
SR401|4829.00|4840.00|4790.00|42636|09:40:16|4828.00|61|4829.00|61
SR401|4828.00|4840.00|4790.00|42642|09:40:17|4828.00|205|4829.00|205
SR401|4829.00|4840.00|4790.00|42648|09:40:17|4828.00|205|4829.00|202
SR401|4829.00|4840.00|4790.00|42648|09:40:18|4828.00|206|4829.00|206
SR401|4828.00|4840.00|4790.00|42658|09:40:19|4828.00|206|4829.00|206
SR401|4828.00|4840.00|4790.00|42658|09:40:20|4828.00|208|4829.00|208
SR401|4829.00|4840.00|4790.00|42840|09:40:21|4828.00|112|4829.00|112
SR401|4828.00|4840.00|4790.00|42844|09:40:22|4828.00|197|4829.00|197
SR401|4828.00|4840.00|4790.00|42844|09:40:23|4828.00|197|4829.00|197
SR401|4829.00|4840.00|4790.00|42864|09:40:24|4828.00|187|4829.00|187
SR401|4829.00|4840.00|4790.00|42872|09:40:24|4828.00|184|4829.00|184
SR401|4829.00|4840.00|4790.00|42872|09:40:25|4828.00|220|4829.00|220
SR401|4829.00|4840.00|4790.00|42878|09:40:26|4828.00|180|4829.00|180
SR401|4829.00|4840.00|4790.00|42878|09:40:29|4828.00|219|4829.00|219
SR401|4829.00|4840.00|4790.00|42884|09:40:33|4828.00|176|4829.00|176
SR401|4829.00|4840.00|4790.00|42884|09:40:35|4828.00|221|4829.00|221
SR401|4829.00|4840.00|4790.00|42884|09:40:37|4828.00|221|4829.00|221
SR401|4829.00|4840.00|4790.00|42936|09:40:38|4828.00|149|4829.00|149
SR401|4829.00|4840.00|4790.00|42942|09:40:39|4828.00|221|4829.00|221
SR401|4829.00|4840.00|4790.00|42946|09:40:42|4828.00|221|4829.00|221
SR401|4829.00|4840.00|4790.00|42946|09:40:43|4828.00|154|4829.00|154
SR401|4829.00|4840.00|4790.00|42952|09:40:43|4828.00|226|4829.00|226
SR401|4829.00|4840.00|4790.00|42968|09:40:44|4828.00|226|4829.00|226
SR401|4829.00|4840.00|4790.00|42968|09:40:46|4828.00|225|4829.00|225
SR401|4829.00|4840.00|4790.00|42968|09:40:47|4828.00|225|4829.00|225
SR401|4829.00|4840.00|4790.00|42968|09:40:49|4828.00|225|4829.00|225
SR401|4829.00|4840.00|4790.00|42984|09:40:52|4828.00|152|4829.00|152
SR401|4829.00|4840.00|4790.00|42994|09:40:53|4828.00|234|4829.00|234
SR401|4829.00|4840.00|4790.00|43014|09:40:55|4828.00|234|4829.00|234
SR401|4829.00|4840.00|4790.00|43014|09:40:56|4828.00|233|4829.00|233
SR401|4828.00|4840.00|4790.00|43020|09:40:58|4828.00|137|4829.00|137
SR401|4829.00|4840.00|4790.00|43028|09:40:58|4828.00|232|4829.00|232
SR401|4829.00|4840.00|4790.00|43032|09:41:00|4828.00|233|4829.00|233
SR401|4829.00|4840.00|4790.00|43046|09:41:02|4828.00|233|4829.00|233
